SAMPLE	POPULATION	REGION	COUNTRY	STUDY
NA18593	CHB	Asia	CHB	GP
NA18595	CHB	Asia	CHB	GP
NA18596	CHB	Asia	CHB	GP
NA18597	CHB	Asia	CHB	GP
NA18599	CHB	Asia	CHB	GP
NA18602	CHB	Asia	CHB	GP
NA18603	CHB	Asia	CHB	GP
NA18605	CHB	Asia	CHB	GP
NA18606	CHB	Asia	CHB	GP
NA18608	CHB	Asia	CHB	GP
NA18609	CHB	Asia	CHB	GP
NA18610	CHB	Asia	CHB	GP
NA18611	CHB	Asia	CHB	GP
NA18612	CHB	Asia	CHB	GP
NA18613	CHB	Asia	CHB	GP
NA18614	CHB	Asia	CHB	GP
NA18615	CHB	Asia	CHB	GP
NA18616	CHB	Asia	CHB	GP
NA18617	CHB	Asia	CHB	GP
NA18618	CHB	Asia	CHB	GP
NA18619	CHB	Asia	CHB	GP
NA18620	CHB	Asia	CHB	GP
NA18621	CHB	Asia	CHB	GP
NA18622	CHB	Asia	CHB	GP
NA18623	CHB	Asia	CHB	GP
NA18624	CHB	Asia	CHB	GP
NA18625	CHB	Asia	CHB	GP
NA18626	CHB	Asia	CHB	GP
NA18627	CHB	Asia	CHB	GP
NA18628	CHB	Asia	CHB	GP
NA18629	CHB	Asia	CHB	GP
NA18630	CHB	Asia	CHB	GP
NA18631	CHB	Asia	CHB	GP
NA18632	CHB	Asia	CHB	GP
NA18633	CHB	Asia	CHB	GP
NA18634	CHB	Asia	CHB	GP
NA18635	CHB	Asia	CHB	GP
NA18636	CHB	Asia	CHB	GP
NA18637	CHB	Asia	CHB	GP
NA18638	CHB	Asia	CHB	GP
NA18639	CHB	Asia	CHB	GP
NA18640	CHB	Asia	CHB	GP
NA18641	CHB	Asia	CHB	GP
NA18642	CHB	Asia	CHB	GP
NA18643	CHB	Asia	CHB	GP
NA18644	CHB	Asia	CHB	GP
NA18645	CHB	Asia	CHB	GP
NA18646	CHB	Asia	CHB	GP
NA18647	CHB	Asia	CHB	GP
NA18648	CHB	Asia	CHB	GP
NA18740	CHB	Asia	CHB	GP
NA18745	CHB	Asia	CHB	GP
NA18747	CHB	Asia	CHB	GP
NA18748	CHB	Asia	CHB	GP
NA18749	CHB	Asia	CHB	GP
NA18757	CHB	Asia	CHB	GP
NA18791	CHB	Asia	CHB	GP
NA18794	CHB	Asia	CHB	GP
NA18795	CHB	Asia	CHB	GP
HG00403	CHS	Asia	CHS	GP
HG00404	CHS	Asia	CHS	GP
HG00405	CHS	Asia	CHS	GP
HG00406	CHS	Asia	CHS	GP
HG00407	CHS	Asia	CHS	GP
HG00408	CHS	Asia	CHS	GP
HG00409	CHS	Asia	CHS	GP
HG00410	CHS	Asia	CHS	GP
HG00411	CHS	Asia	CHS	GP
HG00418	CHS	Asia	CHS	GP
HG00419	CHS	Asia	CHS	GP
HG00420	CHS	Asia	CHS	GP
HG00421	CHS	Asia	CHS	GP
HG00422	CHS	Asia	CHS	GP
HG00423	CHS	Asia	CHS	GP
HG00427	CHS	Asia	CHS	GP
HG00428	CHS	Asia	CHS	GP
HG00429	CHS	Asia	CHS	GP
HG00436	CHS	Asia	CHS	GP
HG00437	CHS	Asia	CHS	GP
HG00438	CHS	Asia	CHS	GP
HG00442	CHS	Asia	CHS	GP
HG00443	CHS	Asia	CHS	GP
HG00444	CHS	Asia	CHS	GP
HG00445	CHS	Asia	CHS	GP
HG00446	CHS	Asia	CHS	GP
HG00447	CHS	Asia	CHS	GP
HG00448	CHS	Asia	CHS	GP
HG00449	CHS	Asia	CHS	GP
HG00450	CHS	Asia	CHS	GP
HG00451	CHS	Asia	CHS	GP
HG00452	CHS	Asia	CHS	GP
HG00453	CHS	Asia	CHS	GP
HG00457	CHS	Asia	CHS	GP
HG00458	CHS	Asia	CHS	GP
HG00459	CHS	Asia	CHS	GP
HG00463	CHS	Asia	CHS	GP
HG00464	CHS	Asia	CHS	GP
HG00465	CHS	Asia	CHS	GP
HG00472	CHS	Asia	CHS	GP
HG00473	CHS	Asia	CHS	GP
HG00474	CHS	Asia	CHS	GP
HG00475	CHS	Asia	CHS	GP
HG00476	CHS	Asia	CHS	GP
HG00477	CHS	Asia	CHS	GP
HG00478	CHS	Asia	CHS	GP
HG00479	CHS	Asia	CHS	GP
HG00480	CHS	Asia	CHS	GP
HG00500	CHS	Asia	CHS	GP
HG00501	CHS	Asia	CHS	GP
HG00502	CHS	Asia	CHS	GP
HG00512	CHS	Asia	CHS	GP
HG00513	CHS	Asia	CHS	GP
HG00514	CHS	Asia	CHS	GP
HG00524	CHS	Asia	CHS	GP
HG00525	CHS	Asia	CHS	GP
HG00526	CHS	Asia	CHS	GP
HG00530	CHS	Asia	CHS	GP
HG00531	CHS	Asia	CHS	GP
HG00532	CHS	Asia	CHS	GP
HG00533	CHS	Asia	CHS	GP
HG00534	CHS	Asia	CHS	GP
HG00535	CHS	Asia	CHS	GP
HG00536	CHS	Asia	CHS	GP
HG00537	CHS	Asia	CHS	GP
HG00538	CHS	Asia	CHS	GP
HG00542	CHS	Asia	CHS	GP
HG00543	CHS	Asia	CHS	GP
HG00544	CHS	Asia	CHS	GP
HG00556	CHS	Asia	CHS	GP
HG00557	CHS	Asia	CHS	GP
HG00558	CHS	Asia	CHS	GP
HG00559	CHS	Asia	CHS	GP
HG00560	CHS	Asia	CHS	GP
HG00561	CHS	Asia	CHS	GP
HG00565	CHS	Asia	CHS	GP
HG00566	CHS	Asia	CHS	GP
HG00567	CHS	Asia	CHS	GP
HG00577	CHS	Asia	CHS	GP
HG00578	CHS	Asia	CHS	GP
HG00579	CHS	Asia	CHS	GP
HG00580	CHS	Asia	CHS	GP
HG00581	CHS	Asia	CHS	GP
HG00582	CHS	Asia	CHS	GP
HG00583	CHS	Asia	CHS	GP
HG00584	CHS	Asia	CHS	GP
HG00585	CHS	Asia	CHS	GP
HG00589	CHS	Asia	CHS	GP
HG00590	CHS	Asia	CHS	GP
HG00591	CHS	Asia	CHS	GP
HG00592	CHS	Asia	CHS	GP
HG00593	CHS	Asia	CHS	GP
HG00594	CHS	Asia	CHS	GP
HG00595	CHS	Asia	CHS	GP
HG00596	CHS	Asia	CHS	GP
HG00597	CHS	Asia	CHS	GP
HG00598	CHS	Asia	CHS	GP
HG00599	CHS	Asia	CHS	GP
HG00600	CHS	Asia	CHS	GP
HG00607	CHS	Asia	CHS	GP
HG00608	CHS	Asia	CHS	GP
HG00609	CHS	Asia	CHS	GP
HG00610	CHS	Asia	CHS	GP
HG00611	CHS	Asia	CHS	GP
HG00612	CHS	Asia	CHS	GP
HG00613	CHS	Asia	CHS	GP
HG00614	CHS	Asia	CHS	GP
HG00615	CHS	Asia	CHS	GP
HG00619	CHS	Asia	CHS	GP
HG00620	CHS	Asia	CHS	GP
HG00621	CHS	Asia	CHS	GP
HG00622	CHS	Asia	CHS	GP
HG00623	CHS	Asia	CHS	GP
HG00624	CHS	Asia	CHS	GP
HG00625	CHS	Asia	CHS	GP
HG00626	CHS	Asia	CHS	GP
HG00627	CHS	Asia	CHS	GP
HG00628	CHS	Asia	CHS	GP
HG00629	CHS	Asia	CHS	GP
HG00630	CHS	Asia	CHS	GP
HG00631	CHS	Asia	CHS	GP
HG00632	CHS	Asia	CHS	GP
HG00633	CHS	Asia	CHS	GP
HG00634	CHS	Asia	CHS	GP
HG00635	CHS	Asia	CHS	GP
HG00636	CHS	Asia	CHS	GP
HG00650	CHS	Asia	CHS	GP
HG00651	CHS	Asia	CHS	GP
HG00652	CHS	Asia	CHS	GP
HG00653	CHS	Asia	CHS	GP
HG00654	CHS	Asia	CHS	GP
HG00655	CHS	Asia	CHS	GP
HG00656	CHS	Asia	CHS	GP
HG00657	CHS	Asia	CHS	GP
HG00658	CHS	Asia	CHS	GP
HG00662	CHS	Asia	CHS	GP
HG00663	CHS	Asia	CHS	GP
HG00664	CHS	Asia	CHS	GP
HG00671	CHS	Asia	CHS	GP
HG00672	CHS	Asia	CHS	GP
HG00673	CHS	Asia	CHS	GP
HG00674	CHS	Asia	CHS	GP
HG00675	CHS	Asia	CHS	GP
HG00676	CHS	Asia	CHS	GP
HG00683	CHS	Asia	CHS	GP
HG00684	CHS	Asia	CHS	GP
HG00685	CHS	Asia	CHS	GP
HG00689	CHS	Asia	CHS	GP
HG00690	CHS	Asia	CHS	GP
HG00691	CHS	Asia	CHS	GP
HG00692	CHS	Asia	CHS	GP
HG00693	CHS	Asia	CHS	GP
HG00694	CHS	Asia	CHS	GP
HG00698	CHS	Asia	CHS	GP
HG00699	CHS	Asia	CHS	GP
HG00700	CHS	Asia	CHS	GP
HG00701	CHS	Asia	CHS	GP
HG00702	CHS	Asia	CHS	GP
HG00703	CHS	Asia	CHS	GP
HG00704	CHS	Asia	CHS	GP
HG00705	CHS	Asia	CHS	GP
HG00706	CHS	Asia	CHS	GP
HG00707	CHS	Asia	CHS	GP
HG00708	CHS	Asia	CHS	GP
HG00709	CHS	Asia	CHS	GP
HG00716	CHS	Asia	CHS	GP
HG00717	CHS	Asia	CHS	GP
HG00718	CHS	Asia	CHS	GP
HG00728	CHS	Asia	CHS	GP
HG00729	CHS	Asia	CHS	GP
HG00730	CHS	Asia	CHS	GP
HG01112	CLM	America	CLM	GP
HG01113	CLM	America	CLM	GP
HG01114	CLM	America	CLM	GP
HG01119	CLM	America	CLM	GP
HG01121	CLM	America	CLM	GP
HG01122	CLM	America	CLM	GP
HG01123	CLM	America	CLM	GP
HG01124	CLM	America	CLM	GP
HG01125	CLM	America	CLM	GP
HG01126	CLM	America	CLM	GP
HG01130	CLM	America	CLM	GP
HG01131	CLM	America	CLM	GP
HG01133	CLM	America	CLM	GP
HG01134	CLM	America	CLM	GP
HG01135	CLM	America	CLM	GP
HG01136	CLM	America	CLM	GP
HG01137	CLM	America	CLM	GP
HG01138	CLM	America	CLM	GP
HG01139	CLM	America	CLM	GP
HG01140	CLM	America	CLM	GP
HG01141	CLM	America	CLM	GP
HG01142	CLM	America	CLM	GP
HG01148	CLM	America	CLM	GP
HG01149	CLM	America	CLM	GP
HG01150	CLM	America	CLM	GP
HG01250	CLM	America	CLM	GP
HG01251	CLM	America	CLM	GP
HG01252	CLM	America	CLM	GP
HG01253	CLM	America	CLM	GP
HG01254	CLM	America	CLM	GP
HG01255	CLM	America	CLM	GP
HG01256	CLM	America	CLM	GP
HG01257	CLM	America	CLM	GP
HG01258	CLM	America	CLM	GP
HG01259	CLM	America	CLM	GP
HG01260	CLM	America	CLM	GP
HG01261	CLM	America	CLM	GP
HG01269	CLM	America	CLM	GP
HG01271	CLM	America	CLM	GP
HG01272	CLM	America	CLM	GP
HG01273	CLM	America	CLM	GP
HG01274	CLM	America	CLM	GP
HG01275	CLM	America	CLM	GP
HG01276	CLM	America	CLM	GP
HG01277	CLM	America	CLM	GP
HG01278	CLM	America	CLM	GP
HG01279	CLM	America	CLM	GP
HG01280	CLM	America	CLM	GP
HG01281	CLM	America	CLM	GP
HG01284	CLM	America	CLM	GP
HG01341	CLM	America	CLM	GP
HG01342	CLM	America	CLM	GP
HG01343	CLM	America	CLM	GP
HG01344	CLM	America	CLM	GP
HG01345	CLM	America	CLM	GP
HG01346	CLM	America	CLM	GP
HG01347	CLM	America	CLM	GP
HG01348	CLM	America	CLM	GP
HG01349	CLM	America	CLM	GP
HG01350	CLM	America	CLM	GP
HG01351	CLM	America	CLM	GP
HG01352	CLM	America	CLM	GP
HG01353	CLM	America	CLM	GP
HG01354	CLM	America	CLM	GP
HG01355	CLM	America	CLM	GP
HG01356	CLM	America	CLM	GP
HG01357	CLM	America	CLM	GP
HG01358	CLM	America	CLM	GP
HG01359	CLM	America	CLM	GP
HG01360	CLM	America	CLM	GP
HG01361	CLM	America	CLM	GP
HG01362	CLM	America	CLM	GP
HG01363	CLM	America	CLM	GP
HG01364	CLM	America	CLM	GP
HG01365	CLM	America	CLM	GP
HG01366	CLM	America	CLM	GP
HG01367	CLM	America	CLM	GP
HG01369	CLM	America	CLM	GP
HG01372	CLM	America	CLM	GP
HG01374	CLM	America	CLM	GP
HG01375	CLM	America	CLM	GP
HG01376	CLM	America	CLM	GP
HG01377	CLM	America	CLM	GP
HG01378	CLM	America	CLM	GP
HG01379	CLM	America	CLM	GP
HG01383	CLM	America	CLM	GP
HG01384	CLM	America	CLM	GP
HG01385	CLM	America	CLM	GP
HG01389	CLM	America	CLM	GP
HG01390	CLM	America	CLM	GP
HG01391	CLM	America	CLM	GP
HG01431	CLM	America	CLM	GP
HG01432	CLM	America	CLM	GP
HG01433	CLM	America	CLM	GP
HG01435	CLM	America	CLM	GP
HG01437	CLM	America	CLM	GP
HG01438	CLM	America	CLM	GP
HG01439	CLM	America	CLM	GP
HG01440	CLM	America	CLM	GP
HG01441	CLM	America	CLM	GP
HG01442	CLM	America	CLM	GP
HG01443	CLM	America	CLM	GP
HG01444	CLM	America	CLM	GP
HG01445	CLM	America	CLM	GP
HG01447	CLM	America	CLM	GP
HG01452	CLM	America	CLM	GP
HG01453	CLM	America	CLM	GP
HG01454	CLM	America	CLM	GP
HG01455	CLM	America	CLM	GP
HG01456	CLM	America	CLM	GP
HG01457	CLM	America	CLM	GP
HG01459	CLM	America	CLM	GP
HG01461	CLM	America	CLM	GP
HG01462	CLM	America	CLM	GP
HG01463	CLM	America	CLM	GP
HG01464	CLM	America	CLM	GP
HG01465	CLM	America	CLM	GP
HG01466	CLM	America	CLM	GP
HG01468	CLM	America	CLM	GP
HG01471	CLM	America	CLM	GP
HG01473	CLM	America	CLM	GP
HG01474	CLM	America	CLM	GP
HG01477	CLM	America	CLM	GP
HG01479	CLM	America	CLM	GP
HG01480	CLM	America	CLM	GP
HG01481	CLM	America	CLM	GP
HG01482	CLM	America	CLM	GP
HG01483	CLM	America	CLM	GP
HG01484	CLM	America	CLM	GP
HG01485	CLM	America	CLM	GP
HG01486	CLM	America	CLM	GP
HG01487	CLM	America	CLM	GP
HG01488	CLM	America	CLM	GP
HG01489	CLM	America	CLM	GP
HG01490	CLM	America	CLM	GP
HG01491	CLM	America	CLM	GP
HG01492	CLM	America	CLM	GP
HG01493	CLM	America	CLM	GP
HG01494	CLM	America	CLM	GP
HG01495	CLM	America	CLM	GP
HG01496	CLM	America	CLM	GP
HG01497	CLM	America	CLM	GP
HG01498	CLM	America	CLM	GP
HG01499	CLM	America	CLM	GP
HG01550	CLM	America	CLM	GP
HG01551	CLM	America	CLM	GP
HG01552	CLM	America	CLM	GP
HG01556	CLM	America	CLM	GP
HG02922	ESN	Africa	ESN	GP
HG02923	ESN	Africa	ESN	GP
HG02924	ESN	Africa	ESN	GP
HG02938	ESN	Africa	ESN	GP
HG02939	ESN	Africa	ESN	GP
HG02941	ESN	Africa	ESN	GP
HG02942	ESN	Africa	ESN	GP
HG02943	ESN	Africa	ESN	GP
HG02944	ESN	Africa	ESN	GP
HG02945	ESN	Africa	ESN	GP
HG02946	ESN	Africa	ESN	GP
HG02947	ESN	Africa	ESN	GP
HG02948	ESN	Africa	ESN	GP
HG02952	ESN	Africa	ESN	GP
HG02953	ESN	Africa	ESN	GP
HG02954	ESN	Africa	ESN	GP
HG02964	ESN	Africa	ESN	GP
HG02965	ESN	Africa	ESN	GP
HG02966	ESN	Africa	ESN	GP
HG02968	ESN	Africa	ESN	GP
HG02969	ESN	Africa	ESN	GP
HG02970	ESN	Africa	ESN	GP
HG02971	ESN	Africa	ESN	GP
HG02972	ESN	Africa	ESN	GP
HG02973	ESN	Africa	ESN	GP
HG02974	ESN	Africa	ESN	GP
HG02975	ESN	Africa	ESN	GP
HG02976	ESN	Africa	ESN	GP
HG02977	ESN	Africa	ESN	GP
HG02978	ESN	Africa	ESN	GP
HG02979	ESN	Africa	ESN	GP
HG02980	ESN	Africa	ESN	GP
HG02981	ESN	Africa	ESN	GP
HG03099	ESN	Africa	ESN	GP
HG03100	ESN	Africa	ESN	GP
HG03101	ESN	Africa	ESN	GP
HG03103	ESN	Africa	ESN	GP
HG03104	ESN	Africa	ESN	GP
HG03105	ESN	Africa	ESN	GP
HG03107	ESN	Africa	ESN	GP
HG03108	ESN	Africa	ESN	GP
HG03109	ESN	Africa	ESN	GP
HG03110	ESN	Africa	ESN	GP
HG03111	ESN	Africa	ESN	GP
HG03112	ESN	Africa	ESN	GP
HG03113	ESN	Africa	ESN	GP
HG03114	ESN	Africa	ESN	GP
HG03115	ESN	Africa	ESN	GP
HG03116	ESN	Africa	ESN	GP
HG03117	ESN	Africa	ESN	GP
HG03118	ESN	Africa	ESN	GP
HG03119	ESN	Africa	ESN	GP
HG03120	ESN	Africa	ESN	GP
HG03121	ESN	Africa	ESN	GP
HG03122	ESN	Africa	ESN	GP
HG03123	ESN	Africa	ESN	GP
HG03124	ESN	Africa	ESN	GP
HG03125	ESN	Africa	ESN	GP
HG03126	ESN	Africa	ESN	GP
HG03127	ESN	Africa	ESN	GP
HG03128	ESN	Africa	ESN	GP
HG03129	ESN	Africa	ESN	GP
HG03130	ESN	Africa	ESN	GP
HG03131	ESN	Africa	ESN	GP
HG03132	ESN	Africa	ESN	GP
HG03133	ESN	Africa	ESN	GP
HG03134	ESN	Africa	ESN	GP
HG03135	ESN	Africa	ESN	GP
HG03136	ESN	Africa	ESN	GP
HG03137	ESN	Africa	ESN	GP
HG03139	ESN	Africa	ESN	GP
HG03140	ESN	Africa	ESN	GP
HG03157	ESN	Africa	ESN	GP
HG03158	ESN	Africa	ESN	GP
HG03159	ESN	Africa	ESN	GP
HG03160	ESN	Africa	ESN	GP
HG03161	ESN	Africa	ESN	GP
HG03162	ESN	Africa	ESN	GP
HG03163	ESN	Africa	ESN	GP
HG03164	ESN	Africa	ESN	GP
HG03166	ESN	Africa	ESN	GP
HG03167	ESN	Africa	ESN	GP
HG03168	ESN	Africa	ESN	GP
HG03169	ESN	Africa	ESN	GP
HG03170	ESN	Africa	ESN	GP
HG03171	ESN	Africa	ESN	GP
HG03172	ESN	Africa	ESN	GP
HG03173	ESN	Africa	ESN	GP
HG03175	ESN	Africa	ESN	GP
HG03176	ESN	Africa	ESN	GP
HG03189	ESN	Africa	ESN	GP
HG03190	ESN	Africa	ESN	GP
HG03191	ESN	Africa	ESN	GP
HG03193	ESN	Africa	ESN	GP
HG03194	ESN	Africa	ESN	GP
HG03195	ESN	Africa	ESN	GP
HG03196	ESN	Africa	ESN	GP
HG03197	ESN	Africa	ESN	GP
HG03198	ESN	Africa	ESN	GP
HG03199	ESN	Africa	ESN	GP
HG03200	ESN	Africa	ESN	GP
HG03202	ESN	Africa	ESN	GP
HG03203	ESN	Africa	ESN	GP
HG03265	ESN	Africa	ESN	GP
HG03266	ESN	Africa	ESN	GP
HG03267	ESN	Africa	ESN	GP
HG03268	ESN	Africa	ESN	GP
HG03269	ESN	Africa	ESN	GP
HG03270	ESN	Africa	ESN	GP
HG03271	ESN	Africa	ESN	GP
HG03272	ESN	Africa	ESN	GP
HG03279	ESN	Africa	ESN	GP
HG03280	ESN	Africa	ESN	GP
HG03291	ESN	Africa	ESN	GP
HG03293	ESN	Africa	ESN	GP
HG03294	ESN	Africa	ESN	GP
HG03295	ESN	Africa	ESN	GP
HG03296	ESN	Africa	ESN	GP
HG03297	ESN	Africa	ESN	GP
HG03298	ESN	Africa	ESN	GP
HG03299	ESN	Africa	ESN	GP
HG03300	ESN	Africa	ESN	GP
HG03301	ESN	Africa	ESN	GP
HG03302	ESN	Africa	ESN	GP
HG03303	ESN	Africa	ESN	GP
HG03304	ESN	Africa	ESN	GP
HG03305	ESN	Africa	ESN	GP
HG03306	ESN	Africa	ESN	GP
HG03307	ESN	Africa	ESN	GP
HG03308	ESN	Africa	ESN	GP
HG03309	ESN	Africa	ESN	GP
HG03310	ESN	Africa	ESN	GP
HG03311	ESN	Africa	ESN	GP
HG03312	ESN	Africa	ESN	GP
HG03313	ESN	Africa	ESN	GP
HG03314	ESN	Africa	ESN	GP
HG03339	ESN	Africa	ESN	GP
HG03341	ESN	Africa	ESN	GP
HG03342	ESN	Africa	ESN	GP
HG03343	ESN	Africa	ESN	GP
HG03344	ESN	Africa	ESN	GP
HG03350	ESN	Africa	ESN	GP
HG03351	ESN	Africa	ESN	GP
HG03352	ESN	Africa	ESN	GP
HG03354	ESN	Africa	ESN	GP
HG03361	ESN	Africa	ESN	GP
HG03362	ESN	Africa	ESN	GP
HG03363	ESN	Africa	ESN	GP
HG03365	ESN	Africa	ESN	GP
HG03366	ESN	Africa	ESN	GP
HG03367	ESN	Africa	ESN	GP
HG03368	ESN	Africa	ESN	GP
HG03369	ESN	Africa	ESN	GP
HG03370	ESN	Africa	ESN	GP
HG03371	ESN	Africa	ESN	GP
HG03372	ESN	Africa	ESN	GP
HG03373	ESN	Africa	ESN	GP
HG03374	ESN	Africa	ESN	GP
HG03493	ESN	Africa	ESN	GP
HG03499	ESN	Africa	ESN	GP
HG03508	ESN	Africa	ESN	GP
HG03510	ESN	Africa	ESN	GP
HG03511	ESN	Africa	ESN	GP
HG03513	ESN	Africa	ESN	GP
HG03514	ESN	Africa	ESN	GP
HG03515	ESN	Africa	ESN	GP
HG03516	ESN	Africa	ESN	GP
HG03517	ESN	Africa	ESN	GP
HG03518	ESN	Africa	ESN	GP
HG03519	ESN	Africa	ESN	GP
HG03520	ESN	Africa	ESN	GP
HG03521	ESN	Africa	ESN	GP
HG03522	ESN	Africa	ESN	GP
HG00171	FIN	Europe	FIN	GP
HG00173	FIN	Europe	FIN	GP
HG00174	FIN	Europe	FIN	GP
HG00176	FIN	Europe	FIN	GP
HG00177	FIN	Europe	FIN	GP
HG00178	FIN	Europe	FIN	GP
HG00179	FIN	Europe	FIN	GP
HG00180	FIN	Europe	FIN	GP
HG00181	FIN	Europe	FIN	GP
HG00182	FIN	Europe	FIN	GP
HG00183	FIN	Europe	FIN	GP
HG00185	FIN	Europe	FIN	GP
HG00186	FIN	Europe	FIN	GP
HG00187	FIN	Europe	FIN	GP
HG00188	FIN	Europe	FIN	GP
HG00189	FIN	Europe	FIN	GP
HG00190	FIN	Europe	FIN	GP
HG00266	FIN	Europe	FIN	GP
HG00267	FIN	Europe	FIN	GP
HG00268	FIN	Europe	FIN	GP
HG00269	FIN	Europe	FIN	GP
HG00270	FIN	Europe	FIN	GP
HG00271	FIN	Europe	FIN	GP
HG00272	FIN	Europe	FIN	GP
HG00273	FIN	Europe	FIN	GP
HG00274	FIN	Europe	FIN	GP
HG00275	FIN	Europe	FIN	GP
HG00276	FIN	Europe	FIN	GP
HG00277	FIN	Europe	FIN	GP
HG00278	FIN	Europe	FIN	GP
HG00280	FIN	Europe	FIN	GP
HG00281	FIN	Europe	FIN	GP
HG00282	FIN	Europe	FIN	GP
HG00284	FIN	Europe	FIN	GP
HG00285	FIN	Europe	FIN	GP
HG00288	FIN	Europe	FIN	GP
HG00290	FIN	Europe	FIN	GP
HG00302	FIN	Europe	FIN	GP
HG00303	FIN	Europe	FIN	GP
HG00304	FIN	Europe	FIN	GP
HG00306	FIN	Europe	FIN	GP
HG00308	FIN	Europe	FIN	GP
HG00309	FIN	Europe	FIN	GP
HG00310	FIN	Europe	FIN	GP
HG00311	FIN	Europe	FIN	GP
HG00312	FIN	Europe	FIN	GP
HG00313	FIN	Europe	FIN	GP
HG00315	FIN	Europe	FIN	GP
HG00318	FIN	Europe	FIN	GP
HG00319	FIN	Europe	FIN	GP
HG00320	FIN	Europe	FIN	GP
HG00321	FIN	Europe	FIN	GP
HG00323	FIN	Europe	FIN	GP
HG00324	FIN	Europe	FIN	GP
HG00325	FIN	Europe	FIN	GP
HG00326	FIN	Europe	FIN	GP
HG00327	FIN	Europe	FIN	GP
HG00328	FIN	Europe	FIN	GP
HG00329	FIN	Europe	FIN	GP
HG00330	FIN	Europe	FIN	GP
HG00331	FIN	Europe	FIN	GP
HG00332	FIN	Europe	FIN	GP
HG00334	FIN	Europe	FIN	GP
HG00335	FIN	Europe	FIN	GP
HG00336	FIN	Europe	FIN	GP
HG00337	FIN	Europe	FIN	GP
HG00338	FIN	Europe	FIN	GP
HG00339	FIN	Europe	FIN	GP
HG00341	FIN	Europe	FIN	GP
HG00342	FIN	Europe	FIN	GP
HG00343	FIN	Europe	FIN	GP
HG00344	FIN	Europe	FIN	GP
HG00345	FIN	Europe	FIN	GP
HG00346	FIN	Europe	FIN	GP
HG00349	FIN	Europe	FIN	GP
HG00350	FIN	Europe	FIN	GP
HG00351	FIN	Europe	FIN	GP
HG00353	FIN	Europe	FIN	GP
HG00355	FIN	Europe	FIN	GP
HG00356	FIN	Europe	FIN	GP
HG00357	FIN	Europe	FIN	GP
HG00358	FIN	Europe	FIN	GP
HG00359	FIN	Europe	FIN	GP
HG00360	FIN	Europe	FIN	GP
HG00361	FIN	Europe	FIN	GP
HG00362	FIN	Europe	FIN	GP
HG00364	FIN	Europe	FIN	GP
HG00365	FIN	Europe	FIN	GP
HG00366	FIN	Europe	FIN	GP
HG00367	FIN	Europe	FIN	GP
HG00368	FIN	Europe	FIN	GP
HG00369	FIN	Europe	FIN	GP
HG00371	FIN	Europe	FIN	GP
HG00372	FIN	Europe	FIN	GP
HG00373	FIN	Europe	FIN	GP
HG00375	FIN	Europe	FIN	GP
HG00376	FIN	Europe	FIN	GP
HG00377	FIN	Europe	FIN	GP
HG00378	FIN	Europe	FIN	GP
HG00379	FIN	Europe	FIN	GP
HG00380	FIN	Europe	FIN	GP
HG00381	FIN	Europe	FIN	GP
HG00382	FIN	Europe	FIN	GP
HG00383	FIN	Europe	FIN	GP
HG00384	FIN	Europe	FIN	GP
HG00096	GBR	Europe	GBR	GP
HG00097	GBR	Europe	GBR	GP
HG00098	GBR	Europe	GBR	GP
HG00099	GBR	Europe	GBR	GP
HG00100	GBR	Europe	GBR	GP
HG00101	GBR	Europe	GBR	GP
HG00102	GBR	Europe	GBR	GP
HG00103	GBR	Europe	GBR	GP
HG00104	GBR	Europe	GBR	GP
HG00105	GBR	Europe	GBR	GP
HG00106	GBR	Europe	GBR	GP
HG00107	GBR	Europe	GBR	GP
HG00108	GBR	Europe	GBR	GP
HG00109	GBR	Europe	GBR	GP
HG00110	GBR	Europe	GBR	GP
HG00111	GBR	Europe	GBR	GP
HG00112	GBR	Europe	GBR	GP
HG00113	GBR	Europe	GBR	GP
HG00114	GBR	Europe	GBR	GP
HG00115	GBR	Europe	GBR	GP
HG00116	GBR	Europe	GBR	GP
HG00117	GBR	Europe	GBR	GP
HG00118	GBR	Europe	GBR	GP
HG00119	GBR	Europe	GBR	GP
HG00120	GBR	Europe	GBR	GP
HG00121	GBR	Europe	GBR	GP
HG00122	GBR	Europe	GBR	GP
HG00123	GBR	Europe	GBR	GP
HG00124	GBR	Europe	GBR	GP
HG00125	GBR	Europe	GBR	GP
HG00126	GBR	Europe	GBR	GP
HG00127	GBR	Europe	GBR	GP
HG00128	GBR	Europe	GBR	GP
HG00129	GBR	Europe	GBR	GP
HG00130	GBR	Europe	GBR	GP
HG00131	GBR	Europe	GBR	GP
HG00132	GBR	Europe	GBR	GP
HG00133	GBR	Europe	GBR	GP
HG00134	GBR	Europe	GBR	GP
HG00135	GBR	Europe	GBR	GP
HG00136	GBR	Europe	GBR	GP
HG00137	GBR	Europe	GBR	GP
HG00138	GBR	Europe	GBR	GP
HG00139	GBR	Europe	GBR	GP
HG00140	GBR	Europe	GBR	GP
HG00141	GBR	Europe	GBR	GP
HG00142	GBR	Europe	GBR	GP
HG00143	GBR	Europe	GBR	GP
HG00144	GBR	Europe	GBR	GP
HG00145	GBR	Europe	GBR	GP
HG00146	GBR	Europe	GBR	GP
HG00147	GBR	Europe	GBR	GP
HG00148	GBR	Europe	GBR	GP
HG00149	GBR	Europe	GBR	GP
HG00150	GBR	Europe	GBR	GP
HG00151	GBR	Europe	GBR	GP
HG00152	GBR	Europe	GBR	GP
