SAMPLE	POPULATION	REGION	COUNTRY	STUDY
NA20284	ASW	America	ASW	GP
NA20285	ASW	America	ASW	GP
NA20287	ASW	America	ASW	GP
NA20288	ASW	America	ASW	GP
NA20289	ASW	America	ASW	GP
NA20290	ASW	America	ASW	GP
NA20291	ASW	America	ASW	GP
NA20292	ASW	America	ASW	GP
NA20294	ASW	America	ASW	GP
NA20295	ASW	America	ASW	GP
NA20296	ASW	America	ASW	GP
NA20297	ASW	America	ASW	GP
NA20298	ASW	America	ASW	GP
NA20299	ASW	America	ASW	GP
NA20300	ASW	America	ASW	GP
NA20301	ASW	America	ASW	GP
NA20302	ASW	America	ASW	GP
NA20312	ASW	America	ASW	GP
NA20313	ASW	America	ASW	GP
NA20314	ASW	America	ASW	GP
NA20316	ASW	America	ASW	GP
NA20317	ASW	America	ASW	GP
NA20318	ASW	America	ASW	GP
NA20319	ASW	America	ASW	GP
NA20320	ASW	America	ASW	GP
NA20321	ASW	America	ASW	GP
NA20322	ASW	America	ASW	GP
NA20332	ASW	America	ASW	GP
NA20333	ASW	America	ASW	GP
NA20334	ASW	America	ASW	GP
NA20335	ASW	America	ASW	GP
NA20336	ASW	America	ASW	GP
NA20337	ASW	America	ASW	GP
NA20339	ASW	America	ASW	GP
NA20340	ASW	America	ASW	GP
NA20341	ASW	America	ASW	GP
NA20342	ASW	America	ASW	GP
NA20343	ASW	America	ASW	GP
NA20344	ASW	America	ASW	GP
NA20345	ASW	America	ASW	GP
NA20346	ASW	America	ASW	GP
NA20347	ASW	America	ASW	GP
NA20348	ASW	America	ASW	GP
NA20349	ASW	America	ASW	GP
NA20350	ASW	America	ASW	GP
NA20351	ASW	America	ASW	GP
NA20355	ASW	America	ASW	GP
NA20356	ASW	America	ASW	GP
NA20357	ASW	America	ASW	GP
NA20358	ASW	America	ASW	GP
NA20359	ASW	America	ASW	GP
NA20360	ASW	America	ASW	GP
NA20361	ASW	America	ASW	GP
NA20362	ASW	America	ASW	GP
NA20363	ASW	America	ASW	GP
NA20364	ASW	America	ASW	GP
NA20412	ASW	America	ASW	GP
NA20413	ASW	America	ASW	GP
NA20414	ASW	America	ASW	GP
HG03006	BEB	SEA	BEB	GP
HG03007	BEB	SEA	BEB	GP
HG03008	BEB	SEA	BEB	GP
HG03009	BEB	SEA	BEB	GP
HG03012	BEB	SEA	BEB	GP
HG03585	BEB	SEA	BEB	GP
HG03587	BEB	SEA	BEB	GP
HG03589	BEB	SEA	BEB	GP
HG03590	BEB	SEA	BEB	GP
HG03593	BEB	SEA	BEB	GP
HG03594	BEB	SEA	BEB	GP
HG03595	BEB	SEA	BEB	GP
HG03596	BEB	SEA	BEB	GP
HG03598	BEB	SEA	BEB	GP
HG03599	BEB	SEA	BEB	GP
HG03600	BEB	SEA	BEB	GP
HG03602	BEB	SEA	BEB	GP
HG03603	BEB	SEA	BEB	GP
HG03604	BEB	SEA	BEB	GP
HG03605	BEB	SEA	BEB	GP
HG03606	BEB	SEA	BEB	GP
HG03607	BEB	SEA	BEB	GP
HG03611	BEB	SEA	BEB	GP
HG03615	BEB	SEA	BEB	GP
HG03616	BEB	SEA	BEB	GP
HG03617	BEB	SEA	BEB	GP
HG03793	BEB	SEA	BEB	GP
HG03794	BEB	SEA	BEB	GP
HG03795	BEB	SEA	BEB	GP
HG03796	BEB	SEA	BEB	GP
HG03797	BEB	SEA	BEB	GP
HG03798	BEB	SEA	BEB	GP
HG03799	BEB	SEA	BEB	GP
HG03800	BEB	SEA	BEB	GP
HG03801	BEB	SEA	BEB	GP
HG03802	BEB	SEA	BEB	GP
HG03803	BEB	SEA	BEB	GP
HG03804	BEB	SEA	BEB	GP
HG03805	BEB	SEA	BEB	GP
HG03806	BEB	SEA	BEB	GP
HG03807	BEB	SEA	BEB	GP
HG03808	BEB	SEA	BEB	GP
HG03809	BEB	SEA	BEB	GP
HG03811	BEB	SEA	BEB	GP
HG03812	BEB	SEA	BEB	GP
HG03813	BEB	SEA	BEB	GP
HG03814	BEB	SEA	BEB	GP
HG03815	BEB	SEA	BEB	GP
HG03816	BEB	SEA	BEB	GP
HG03817	BEB	SEA	BEB	GP
HG03821	BEB	SEA	BEB	GP
HG03822	BEB	SEA	BEB	GP
HG03823	BEB	SEA	BEB	GP
HG03824	BEB	SEA	BEB	GP
HG03825	BEB	SEA	BEB	GP
HG03826	BEB	SEA	BEB	GP
HG03829	BEB	SEA	BEB	GP
HG03830	BEB	SEA	BEB	GP
HG03831	BEB	SEA	BEB	GP
HG03832	BEB	SEA	BEB	GP
HG03833	BEB	SEA	BEB	GP
HG03834	BEB	SEA	BEB	GP
HG03901	BEB	SEA	BEB	GP
HG03902	BEB	SEA	BEB	GP
HG03903	BEB	SEA	BEB	GP
HG03904	BEB	SEA	BEB	GP
HG03905	BEB	SEA	BEB	GP
HG03906	BEB	SEA	BEB	GP
HG03907	BEB	SEA	BEB	GP
HG03908	BEB	SEA	BEB	GP
HG03909	BEB	SEA	BEB	GP
HG03910	BEB	SEA	BEB	GP
HG03911	BEB	SEA	BEB	GP
HG03913	BEB	SEA	BEB	GP
HG03914	BEB	SEA	BEB	GP
HG03915	BEB	SEA	BEB	GP
HG03916	BEB	SEA	BEB	GP
HG03917	BEB	SEA	BEB	GP
HG03919	BEB	SEA	BEB	GP
HG03920	BEB	SEA	BEB	GP
HG03922	BEB	SEA	BEB	GP
HG03924	BEB	SEA	BEB	GP
HG03925	BEB	SEA	BEB	GP
HG03926	BEB	SEA	BEB	GP
HG03927	BEB	SEA	BEB	GP
HG03928	BEB	SEA	BEB	GP
HG03929	BEB	SEA	BEB	GP
HG03930	BEB	SEA	BEB	GP
HG03931	BEB	SEA	BEB	GP
HG03934	BEB	SEA	BEB	GP
HG03937	BEB	SEA	BEB	GP
HG03939	BEB	SEA	BEB	GP
HG03940	BEB	SEA	BEB	GP
HG03941	BEB	SEA	BEB	GP
HG03942	BEB	SEA	BEB	GP
HG04128	BEB	SEA	BEB	GP
HG04131	BEB	SEA	BEB	GP
HG04132	BEB	SEA	BEB	GP
HG04133	BEB	SEA	BEB	GP
HG04134	BEB	SEA	BEB	GP
HG04135	BEB	SEA	BEB	GP
HG04136	BEB	SEA	BEB	GP
HG04140	BEB	SEA	BEB	GP
HG04141	BEB	SEA	BEB	GP
HG04142	BEB	SEA	BEB	GP
HG04144	BEB	SEA	BEB	GP
HG04146	BEB	SEA	BEB	GP
HG04147	BEB	SEA	BEB	GP
HG04148	BEB	SEA	BEB	GP
HG04149	BEB	SEA	BEB	GP
HG04150	BEB	SEA	BEB	GP
HG04151	BEB	SEA	BEB	GP
HG04152	BEB	SEA	BEB	GP
HG04153	BEB	SEA	BEB	GP
HG04155	BEB	SEA	BEB	GP
HG04156	BEB	SEA	BEB	GP
HG04157	BEB	SEA	BEB	GP
HG04158	BEB	SEA	BEB	GP
HG04159	BEB	SEA	BEB	GP
HG04160	BEB	SEA	BEB	GP
HG04161	BEB	SEA	BEB	GP
HG04162	BEB	SEA	BEB	GP
HG04164	BEB	SEA	BEB	GP
HG04171	BEB	SEA	BEB	GP
HG04173	BEB	SEA	BEB	GP
HG04174	BEB	SEA	BEB	GP
HG04175	BEB	SEA	BEB	GP
HG04176	BEB	SEA	BEB	GP
HG04177	BEB	SEA	BEB	GP
HG04180	BEB	SEA	BEB	GP
HG04181	BEB	SEA	BEB	GP
HG04182	BEB	SEA	BEB	GP
HG04183	BEB	SEA	BEB	GP
HG04184	BEB	SEA	BEB	GP
HG04185	BEB	SEA	BEB	GP
HG04186	BEB	SEA	BEB	GP
HG04187	BEB	SEA	BEB	GP
HG04188	BEB	SEA	BEB	GP
HG04189	BEB	SEA	BEB	GP
HG04191	BEB	SEA	BEB	GP
HG04192	BEB	SEA	BEB	GP
HG04193	BEB	SEA	BEB	GP
HG04194	BEB	SEA	BEB	GP
HG04195	BEB	SEA	BEB	GP
HG00759	CDX	Asia	CDX	GP
HG00766	CDX	Asia	CDX	GP
HG00844	CDX	Asia	CDX	GP
HG00851	CDX	Asia	CDX	GP
HG00864	CDX	Asia	CDX	GP
HG00866	CDX	Asia	CDX	GP
HG00867	CDX	Asia	CDX	GP
HG00879	CDX	Asia	CDX	GP
HG00881	CDX	Asia	CDX	GP
HG00956	CDX	Asia	CDX	GP
HG00978	CDX	Asia	CDX	GP
HG00982	CDX	Asia	CDX	GP
HG00983	CDX	Asia	CDX	GP
HG01028	CDX	Asia	CDX	GP
HG01029	CDX	Asia	CDX	GP
HG01031	CDX	Asia	CDX	GP
HG01046	CDX	Asia	CDX	GP
HG01794	CDX	Asia	CDX	GP
HG01795	CDX	Asia	CDX	GP
HG01796	CDX	Asia	CDX	GP
HG01797	CDX	Asia	CDX	GP
HG01798	CDX	Asia	CDX	GP
HG01799	CDX	Asia	CDX	GP
HG01800	CDX	Asia	CDX	GP
HG01801	CDX	Asia	CDX	GP
HG01802	CDX	Asia	CDX	GP
HG01804	CDX	Asia	CDX	GP
HG01805	CDX	Asia	CDX	GP
HG01806	CDX	Asia	CDX	GP
HG01807	CDX	Asia	CDX	GP
HG01808	CDX	Asia	CDX	GP
HG01809	CDX	Asia	CDX	GP
HG01810	CDX	Asia	CDX	GP
HG01811	CDX	Asia	CDX	GP
HG01812	CDX	Asia	CDX	GP
HG01813	CDX	Asia	CDX	GP
HG01815	CDX	Asia	CDX	GP
HG01816	CDX	Asia	CDX	GP
HG01817	CDX	Asia	CDX	GP
HG02151	CDX	Asia	CDX	GP
HG02152	CDX	Asia	CDX	GP
HG02153	CDX	Asia	CDX	GP
HG02154	CDX	Asia	CDX	GP
HG02155	CDX	Asia	CDX	GP
HG02156	CDX	Asia	CDX	GP
HG02164	CDX	Asia	CDX	GP
HG02165	CDX	Asia	CDX	GP
HG02166	CDX	Asia	CDX	GP
HG02168	CDX	Asia	CDX	GP
HG02169	CDX	Asia	CDX	GP
HG02170	CDX	Asia	CDX	GP
HG02173	CDX	Asia	CDX	GP
HG02176	CDX	Asia	CDX	GP
HG02178	CDX	Asia	CDX	GP
HG02179	CDX	Asia	CDX	GP
HG02180	CDX	Asia	CDX	GP
HG02181	CDX	Asia	CDX	GP
HG02182	CDX	Asia	CDX	GP
HG02184	CDX	Asia	CDX	GP
HG02185	CDX	Asia	CDX	GP
HG02186	CDX	Asia	CDX	GP
HG02187	CDX	Asia	CDX	GP
HG02188	CDX	Asia	CDX	GP
HG02189	CDX	Asia	CDX	GP
HG02190	CDX	Asia	CDX	GP
HG02250	CDX	Asia	CDX	GP
HG02351	CDX	Asia	CDX	GP
HG02353	CDX	Asia	CDX	GP
HG02355	CDX	Asia	CDX	GP
HG02356	CDX	Asia	CDX	GP
HG02358	CDX	Asia	CDX	GP
HG02360	CDX	Asia	CDX	GP
HG02363	CDX	Asia	CDX	GP
HG02364	CDX	Asia	CDX	GP
HG02367	CDX	Asia	CDX	GP
HG02371	CDX	Asia	CDX	GP
HG02372	CDX	Asia	CDX	GP
HG02373	CDX	Asia	CDX	GP
HG02374	CDX	Asia	CDX	GP
HG02375	CDX	Asia	CDX	GP
HG02377	CDX	Asia	CDX	GP
HG02379	CDX	Asia	CDX	GP
HG02380	CDX	Asia	CDX	GP
HG02381	CDX	Asia	CDX	GP
HG02382	CDX	Asia	CDX	GP
HG02383	CDX	Asia	CDX	GP
HG02384	CDX	Asia	CDX	GP
HG02385	CDX	Asia	CDX	GP
HG02386	CDX	Asia	CDX	GP
HG02387	CDX	Asia	CDX	GP
HG02388	CDX	Asia	CDX	GP
HG02389	CDX	Asia	CDX	GP
HG02390	CDX	Asia	CDX	GP
HG02391	CDX	Asia	CDX	GP
HG02392	CDX	Asia	CDX	GP
HG02394	CDX	Asia	CDX	GP
HG02395	CDX	Asia	CDX	GP
HG02396	CDX	Asia	CDX	GP
HG02397	CDX	Asia	CDX	GP
HG02398	CDX	Asia	CDX	GP
HG02399	CDX	Asia	CDX	GP
HG02401	CDX	Asia	CDX	GP
HG02402	CDX	Asia	CDX	GP
HG02405	CDX	Asia	CDX	GP
HG02406	CDX	Asia	CDX	GP
HG02407	CDX	Asia	CDX	GP
HG02408	CDX	Asia	CDX	GP
HG02409	CDX	Asia	CDX	GP
HG02410	CDX	Asia	CDX	GP
NA06984	CEU	Europe	CEU	GP
NA06985	CEU	Europe	CEU	GP
NA06986	CEU	Europe	CEU	GP
NA06989	CEU	Europe	CEU	GP
NA06991	CEU	Europe	CEU	GP
NA06993	CEU	Europe	CEU	GP
NA06994	CEU	Europe	CEU	GP
NA06995	CEU	Europe	CEU	GP
NA06997	CEU	Europe	CEU	GP
NA07000	CEU	Europe	CEU	GP
NA07014	CEU	Europe	CEU	GP
NA07019	CEU	Europe	CEU	GP
NA07022	CEU	Europe	CEU	GP
NA07029	CEU	Europe	CEU	GP
NA07031	CEU	Europe	CEU	GP
NA07034	CEU	Europe	CEU	GP
NA07037	CEU	Europe	CEU	GP
NA07045	CEU	Europe	CEU	GP
NA07048	CEU	Europe	CEU	GP
NA07051	CEU	Europe	CEU	GP
NA07055	CEU	Europe	CEU	GP
NA07056	CEU	Europe	CEU	GP
NA07340	CEU	Europe	CEU	GP
NA07345	CEU	Europe	CEU	GP
NA07346	CEU	Europe	CEU	GP
NA07347	CEU	Europe	CEU	GP
NA07348	CEU	Europe	CEU	GP
NA07349	CEU	Europe	CEU	GP
NA07357	CEU	Europe	CEU	GP
NA07435	CEU	Europe	CEU	GP
NA10830	CEU	Europe	CEU	GP
NA10831	CEU	Europe	CEU	GP
NA10835	CEU	Europe	CEU	GP
NA10836	CEU	Europe	CEU	GP
NA10837	CEU	Europe	CEU	GP
NA10838	CEU	Europe	CEU	GP
NA10839	CEU	Europe	CEU	GP
NA10840	CEU	Europe	CEU	GP
NA10842	CEU	Europe	CEU	GP
NA10843	CEU	Europe	CEU	GP
NA10845	CEU	Europe	CEU	GP
NA10846	CEU	Europe	CEU	GP
NA10847	CEU	Europe	CEU	GP
NA10850	CEU	Europe	CEU	GP
NA10851	CEU	Europe	CEU	GP
NA10852	CEU	Europe	CEU	GP
NA10853	CEU	Europe	CEU	GP
NA10854	CEU	Europe	CEU	GP
NA10855	CEU	Europe	CEU	GP
NA10856	CEU	Europe	CEU	GP
NA10857	CEU	Europe	CEU	GP
NA10859	CEU	Europe	CEU	GP
NA10860	CEU	Europe	CEU	GP
NA10861	CEU	Europe	CEU	GP
NA10863	CEU	Europe	CEU	GP
NA10864	CEU	Europe	CEU	GP
NA10865	CEU	Europe	CEU	GP
NA11829	CEU	Europe	CEU	GP
NA11830	CEU	Europe	CEU	GP
NA11831	CEU	Europe	CEU	GP
NA11832	CEU	Europe	CEU	GP
NA11839	CEU	Europe	CEU	GP
NA11840	CEU	Europe	CEU	GP
NA11843	CEU	Europe	CEU	GP
NA11881	CEU	Europe	CEU	GP
NA11882	CEU	Europe	CEU	GP
NA11891	CEU	Europe	CEU	GP
NA11892	CEU	Europe	CEU	GP
NA11893	CEU	Europe	CEU	GP
NA11894	CEU	Europe	CEU	GP
NA11917	CEU	Europe	CEU	GP
NA11918	CEU	Europe	CEU	GP
NA11919	CEU	Europe	CEU	GP
NA11920	CEU	Europe	CEU	GP
NA11930	CEU	Europe	CEU	GP
NA11931	CEU	Europe	CEU	GP
NA11932	CEU	Europe	CEU	GP
NA11933	CEU	Europe	CEU	GP
NA11992	CEU	Europe	CEU	GP
NA11993	CEU	Europe	CEU	GP
NA11994	CEU	Europe	CEU	GP
NA11995	CEU	Europe	CEU	GP
NA12003	CEU	Europe	CEU	GP
NA12004	CEU	Europe	CEU	GP
NA12005	CEU	Europe	CEU	GP
NA12006	CEU	Europe	CEU	GP
NA12043	CEU	Europe	CEU	GP
NA12044	CEU	Europe	CEU	GP
NA12045	CEU	Europe	CEU	GP
NA12046	CEU	Europe	CEU	GP
NA12056	CEU	Europe	CEU	GP
NA12057	CEU	Europe	CEU	GP
NA12058	CEU	Europe	CEU	GP
NA12144	CEU	Europe	CEU	GP
NA12145	CEU	Europe	CEU	GP
NA12146	CEU	Europe	CEU	GP
NA12154	CEU	Europe	CEU	GP
NA12155	CEU	Europe	CEU	GP
NA12156	CEU	Europe	CEU	GP
NA12234	CEU	Europe	CEU	GP
NA12239	CEU	Europe	CEU	GP
NA12248	CEU	Europe	CEU	GP
NA12249	CEU	Europe	CEU	GP
NA12264	CEU	Europe	CEU	GP
NA12272	CEU	Europe	CEU	GP
NA12273	CEU	Europe	CEU	GP
NA12274	CEU	Europe	CEU	GP
NA12275	CEU	Europe	CEU	GP
NA12282	CEU	Europe	CEU	GP
NA12283	CEU	Europe	CEU	GP
NA12286	CEU	Europe	CEU	GP
NA12287	CEU	Europe	CEU	GP
NA12329	CEU	Europe	CEU	GP
NA12335	CEU	Europe	CEU	GP
NA12336	CEU	Europe	CEU	GP
NA12340	CEU	Europe	CEU	GP
NA12341	CEU	Europe	CEU	GP
NA12342	CEU	Europe	CEU	GP
NA12343	CEU	Europe	CEU	GP
NA12344	CEU	Europe	CEU	GP
NA12347	CEU	Europe	CEU	GP
NA12348	CEU	Europe	CEU	GP
NA12375	CEU	Europe	CEU	GP
NA12376	CEU	Europe	CEU	GP
NA12383	CEU	Europe	CEU	GP
NA12386	CEU	Europe	CEU	GP
NA12399	CEU	Europe	CEU	GP
NA12400	CEU	Europe	CEU	GP
NA12413	CEU	Europe	CEU	GP
NA12414	CEU	Europe	CEU	GP
NA12485	CEU	Europe	CEU	GP
NA12489	CEU	Europe	CEU	GP
NA12546	CEU	Europe	CEU	GP
NA12707	CEU	Europe	CEU	GP
NA12708	CEU	Europe	CEU	GP
NA12716	CEU	Europe	CEU	GP
NA12717	CEU	Europe	CEU	GP
NA12718	CEU	Europe	CEU	GP
NA12739	CEU	Europe	CEU	GP
NA12740	CEU	Europe	CEU	GP
NA12748	CEU	Europe	CEU	GP
NA12749	CEU	Europe	CEU	GP
NA12750	CEU	Europe	CEU	GP
NA12751	CEU	Europe	CEU	GP
NA12752	CEU	Europe	CEU	GP
NA12753	CEU	Europe	CEU	GP
NA12760	CEU	Europe	CEU	GP
NA12761	CEU	Europe	CEU	GP
NA12762	CEU	Europe	CEU	GP
NA12763	CEU	Europe	CEU	GP
NA12766	CEU	Europe	CEU	GP
NA12767	CEU	Europe	CEU	GP
NA12775	CEU	Europe	CEU	GP
NA12776	CEU	Europe	CEU	GP
NA12777	CEU	Europe	CEU	GP
NA12778	CEU	Europe	CEU	GP
NA12801	CEU	Europe	CEU	GP
NA12802	CEU	Europe	CEU	GP
NA12812	CEU	Europe	CEU	GP
NA12813	CEU	Europe	CEU	GP
NA12814	CEU	Europe	CEU	GP
NA12815	CEU	Europe	CEU	GP
NA12817	CEU	Europe	CEU	GP
NA12818	CEU	Europe	CEU	GP
NA12827	CEU	Europe	CEU	GP
NA12828	CEU	Europe	CEU	GP
NA12829	CEU	Europe	CEU	GP
NA12830	CEU	Europe	CEU	GP
NA12832	CEU	Europe	CEU	GP
NA12842	CEU	Europe	CEU	GP
NA12843	CEU	Europe	CEU	GP
NA12864	CEU	Europe	CEU	GP
NA12865	CEU	Europe	CEU	GP
NA12872	CEU	Europe	CEU	GP
NA12873	CEU	Europe	CEU	GP
NA12874	CEU	Europe	CEU	GP
NA12875	CEU	Europe	CEU	GP
NA12877	CEU	Europe	CEU	GP
NA12878	CEU	Europe	CEU	GP
NA12889	CEU	Europe	CEU	GP
NA12890	CEU	Europe	CEU	GP
NA12891	CEU	Europe	CEU	GP
NA12892	CEU	Europe	CEU	GP
NA18525	CHB	Asia	CHB	GP
NA18526	CHB	Asia	CHB	GP
NA18527	CHB	Asia	CHB	GP
NA18528	CHB	Asia	CHB	GP
NA18530	CHB	Asia	CHB	GP
NA18531	CHB	Asia	CHB	GP
NA18532	CHB	Asia	CHB	GP
NA18533	CHB	Asia	CHB	GP
NA18534	CHB	Asia	CHB	GP
NA18535	CHB	Asia	CHB	GP
NA18536	CHB	Asia	CHB	GP
NA18537	CHB	Asia	CHB	GP
NA18538	CHB	Asia	CHB	GP
NA18539	CHB	Asia	CHB	GP
NA18541	CHB	Asia	CHB	GP
NA18542	CHB	Asia	CHB	GP
NA18543	CHB	Asia	CHB	GP
NA18544	CHB	Asia	CHB	GP
NA18545	CHB	Asia	CHB	GP
NA18546	CHB	Asia	CHB	GP
NA18547	CHB	Asia	CHB	GP
NA18548	CHB	Asia	CHB	GP
NA18549	CHB	Asia	CHB	GP
NA18550	CHB	Asia	CHB	GP
NA18552	CHB	Asia	CHB	GP
NA18553	CHB	Asia	CHB	GP
NA18555	CHB	Asia	CHB	GP
NA18557	CHB	Asia	CHB	GP
NA18558	CHB	Asia	CHB	GP
NA18559	CHB	Asia	CHB	GP
NA18560	CHB	Asia	CHB	GP
NA18561	CHB	Asia	CHB	GP
NA18562	CHB	Asia	CHB	GP
NA18563	CHB	Asia	CHB	GP
NA18564	CHB	Asia	CHB	GP
NA18565	CHB	Asia	CHB	GP
NA18566	CHB	Asia	CHB	GP
NA18567	CHB	Asia	CHB	GP
NA18570	CHB	Asia	CHB	GP
NA18571	CHB	Asia	CHB	GP
NA18572	CHB	Asia	CHB	GP
NA18573	CHB	Asia	CHB	GP
NA18574	CHB	Asia	CHB	GP
NA18576	CHB	Asia	CHB	GP
NA18577	CHB	Asia	CHB	GP
NA18579	CHB	Asia	CHB	GP
NA18582	CHB	Asia	CHB	GP
NA18591	CHB	Asia	CHB	GP
NA18592	CHB	Asia	CHB	GP
